created_at,entry_id,field1,field2,field3
2024-06-08 13:07:53 -0400,223,21.50000,50.30000,192
2024-06-08 13:08:09 -0400,224,21.30000,50.50000,187
2024-06-08 13:08:25 -0400,225,21.20000,50.90000,186
2024-06-08 13:08:42 -0400,226,21.10000,51.50000,183
2024-06-08 13:08:57 -0400,227,21.20000,52.00000,186
2024-06-08 13:09:13 -0400,228,21.40000,51.80000,193
2024-06-08 13:09:29 -0400,229,21.40000,51.40000,183
2024-06-08 13:09:46 -0400,230,21.30000,51.30000,176
2024-06-08 13:10:03 -0400,231,21.30000,51.30000,169
2024-06-08 13:10:19 -0400,232,21.30000,51.40000,163
2024-06-08 13:10:35 -0400,233,21.50000,51.20000,162
2024-06-08 13:10:51 -0400,234,21.70000,51.00000,160
2024-06-08 13:11:07 -0400,235,22.00000,50.60000,159
2024-06-08 13:11:23 -0400,236,22.20000,50.00000,159
2024-06-08 13:12:34 -0400,237,22.00000,49.70000,162
2024-06-08 13:12:49 -0400,238,22.00000,49.70000,166
2024-06-08 13:13:05 -0400,239,22.00000,49.80000,167
2024-06-08 13:13:21 -0400,240,22.10000,49.90000,170
2024-06-08 13:13:55 -0400,241,22.40000,49.50000,177
2024-06-08 13:14:11 -0400,242,22.40000,49.20000,179
2024-06-08 13:14:27 -0400,243,22.20000,49.30000,182
2024-06-08 13:14:44 -0400,244,22.20000,49.50000,184
2024-06-08 13:15:00 -0400,245,22.10000,49.50000,183
2024-06-08 13:15:19 -0400,246,22.30000,49.50000,186
2024-06-08 13:15:35 -0400,247,22.30000,49.30000,183
2024-06-08 13:15:51 -0400,248,22.50000,49.30000,182
2024-06-08 13:16:07 -0400,249,22.70000,48.70000,182
2024-06-08 13:16:26 -0400,250,22.50000,48.50000,180
2024-06-08 13:16:42 -0400,251,22.20000,48.70000,177
2024-06-08 13:16:58 -0400,252,21.70000,49.40000,177
2024-06-08 13:17:32 -0400,253,20.90000,51.70000,172
2024-06-08 13:17:48 -0400,254,21.00000,52.20000,170
2024-06-08 13:18:06 -0400,255,21.20000,52.20000,170
2024-06-08 13:18:22 -0400,256,21.40000,52.00000,172
2024-06-08 13:18:38 -0400,257,21.10000,51.90000,174
2024-06-08 13:18:54 -0400,258,21.00000,52.20000,177
2024-06-08 13:19:10 -0400,259,20.90000,52.70000,183
2024-06-08 13:19:26 -0400,260,21.10000,52.80000,189
2024-06-08 13:19:41 -0400,261,21.40000,52.60000,193
2024-06-08 13:19:57 -0400,262,21.70000,51.80000,197
2024-06-08 13:20:13 -0400,263,22.10000,51.10000,207
2024-06-08 13:20:29 -0400,264,22.20000,50.30000,216
2024-06-08 13:20:45 -0400,265,22.20000,49.80000,216
2024-06-08 13:21:01 -0400,266,22.10000,49.70000,164
2024-06-08 13:21:16 -0400,267,22.10000,49.70000,36
2024-06-08 13:21:49 -0400,268,23.50000,48.20000,34
2024-06-08 13:22:04 -0400,269,nan,nan,87
2024-06-08 13:22:20 -0400,270,24.60000,58.30000,63
2024-06-08 13:22:36 -0400,271,25.30000,56.50000,197
2024-06-08 13:22:52 -0400,272,26.10000,47.00000,184
2024-06-08 13:23:07 -0400,273,26.40000,43.30000,183
2024-06-08 13:23:23 -0400,274,26.50000,41.40000,180
2024-06-08 13:23:38 -0400,275,26.40000,40.70000,163
2024-06-08 13:23:54 -0400,276,26.50000,40.50000,169
2024-06-08 13:24:10 -0400,277,26.40000,40.10000,144
2024-06-08 13:24:44 -0400,278,26.00000,40.30000,172
2024-06-08 13:25:18 -0400,279,26.10000,40.80000,170
2024-06-08 13:25:35 -0400,280,26.20000,40.70000,172
2024-06-08 13:25:51 -0400,281,26.30000,40.50000,169
2024-06-08 13:26:07 -0400,282,26.30000,40.50000,162
2024-06-08 13:26:22 -0400,283,26.50000,40.70000,160
2024-06-08 13:26:38 -0400,284,26.70000,40.20000,153
2024-06-08 13:26:54 -0400,285,26.60000,39.90000,150
2024-06-08 13:27:09 -0400,286,26.60000,40.00000,147
2024-06-08 13:27:25 -0400,287,26.70000,40.20000,144
2024-06-08 13:27:41 -0400,288,26.80000,40.10000,149
2024-06-08 13:27:57 -0400,289,26.70000,40.20000,153
2024-06-08 13:28:13 -0400,290,26.70000,40.20000,160
2024-06-08 13:29:09 -0400,291,26.80000,39.50000,154
2024-06-08 13:29:25 -0400,292,26.60000,39.80000,160
2024-06-08 13:29:41 -0400,293,26.70000,40.10000,167
2024-06-08 13:29:57 -0400,294,26.90000,40.10000,179
2024-06-08 13:30:12 -0400,295,27.10000,39.70000,214
2024-06-08 13:30:28 -0400,296,27.40000,39.40000,236
2024-06-08 13:30:47 -0400,297,27.80000,39.00000,250
2024-06-08 13:32:01 -0400,298,28.20000,37.20000,159
2024-06-08 13:32:53 -0400,299,27.10000,38.50000,360
2024-06-08 13:33:10 -0400,300,27.50000,38.70000,397
2024-06-08 13:33:50 -0400,301,29.30000,36.30000,413
2024-06-08 13:34:06 -0400,302,29.80000,34.90000,393
2024-06-08 13:34:26 -0400,303,30.40000,34.00000,396
2024-06-08 13:34:43 -0400,304,30.80000,33.30000,420
2024-06-08 13:34:58 -0400,305,31.40000,32.40000,426
2024-06-08 13:35:15 -0400,306,32.00000,31.80000,360
2024-06-08 13:35:33 -0400,307,32.60000,30.90000,407
2024-06-08 13:35:51 -0400,308,33.10000,30.30000,389
2024-06-08 13:36:07 -0400,309,33.60000,29.50000,352
2024-06-08 13:36:24 -0400,310,34.20000,28.90000,340
2024-06-08 13:36:41 -0400,311,34.30000,27.80000,247
2024-06-08 13:36:58 -0400,312,34.30000,28.20000,220
2024-06-08 13:37:14 -0400,313,34.00000,27.70000,209
2024-06-08 13:37:30 -0400,314,33.60000,28.00000,230
2024-06-08 13:38:04 -0400,315,32.30000,28.60000,193
2024-06-08 13:38:20 -0400,316,31.60000,29.50000,197
2024-06-08 13:38:35 -0400,317,31.40000,30.20000,166
2024-06-08 13:38:51 -0400,318,31.10000,30.60000,162
2024-06-08 13:39:13 -0400,319,30.90000,31.20000,154
2024-06-08 13:39:29 -0400,320,30.70000,31.40000,156
2024-06-08 13:39:44 -0400,321,30.60000,32.40000,157
2024-06-08 13:40:42 -0400,322,29.40000,34.20000,152
